,0
2022-01-07 20:00:00,3.412499999999999
2022-01-07 21:00:00,3.2525
2022-01-07 22:00:00,3.0025
2022-01-07 23:00:00,3.22
2022-01-08 00:00:00,2.6225
2022-01-08 01:00:00,0.9275
2022-01-08 02:00:00,0.755
2022-01-08 03:00:00,0.8575
2022-01-08 04:00:00,0.8250000000000001
2022-01-08 05:00:00,1.57
2022-01-08 06:00:00,0.809999999999999
2022-01-08 07:00:00,1.5175
2022-01-08 08:00:00,0.8725
2022-01-08 09:00:00,1.475
2022-01-08 10:00:00,1.19
2022-01-08 11:00:00,2.955
2022-01-08 12:00:00,2.9825
2022-01-08 13:00:00,2.744999999999999
2022-01-08 14:00:00,2.99
2022-01-08 15:00:00,2.9625
2022-01-08 16:00:00,3.045
2022-01-08 17:00:00,3.34
2022-01-08 18:00:00,3.175
2022-01-08 19:00:00,2.942499999999999
2022-01-08 20:00:00,3.1625
2022-01-08 21:00:00,3.052499999999999
2022-01-08 22:00:00,2.715
2022-01-08 23:00:00,3.135
2022-01-09 00:00:00,2.492499999999999
2022-01-09 01:00:00,0.909999999999999
2022-01-09 02:00:00,0.7399999999999991
2022-01-09 03:00:00,0.8225
2022-01-09 04:00:00,0.8075
2022-01-09 05:00:00,1.5550000000000002
2022-01-09 06:00:00,0.774999999999999
2022-01-09 07:00:00,1.3825
2022-01-09 08:00:00,0.894999999999999
2022-01-09 09:00:00,1.42
2022-01-09 10:00:00,0.785
2022-01-09 11:00:00,1.5525
2022-01-09 12:00:00,2.7975000000000003
2022-01-09 13:00:00,3.12
2022-01-09 14:00:00,2.9475
2022-01-09 15:00:00,2.782499999999999
2022-01-09 16:00:00,3.3425000000000002
2022-01-09 17:00:00,3.05
2022-01-09 18:00:00,2.675
2022-01-09 19:00:00,2.974999999999999
2022-01-09 20:00:00,2.907499999999999
2022-01-09 21:00:00,2.8375
2022-01-09 22:00:00,2.765
2022-01-09 23:00:00,2.65
2022-01-10 00:00:00,1.7850000000000001
2022-01-10 01:00:00,0.92
2022-01-10 02:00:00,0.8
2022-01-10 03:00:00,1.5725
2022-01-10 04:00:00,0.9
2022-01-10 05:00:00,1.3725
2022-01-10 06:00:00,0.732499999999999
2022-01-10 07:00:00,1.3
2022-01-10 08:00:00,1.1525
2022-01-10 09:00:00,1.5875
2022-01-10 10:00:00,2.719999999999999
2022-01-10 11:00:00,3.11
2022-01-10 12:00:00,3.239999999999999
2022-01-10 13:00:00,3.095
2022-01-10 14:00:00,3.099999999999999
2022-01-10 15:00:00,3.19
2022-01-10 16:00:00,3.1975
2022-01-10 17:00:00,3.392499999999999
2022-01-10 18:00:00,3.09
2022-01-10 19:00:00,3.03
2022-01-10 20:00:00,3.1675
2022-01-10 21:00:00,2.9675000000000002
2022-01-10 22:00:00,2.719999999999999
2022-01-10 23:00:00,2.995
2022-01-11 00:00:00,2.515
2022-01-11 01:00:00,0.8925000000000001
2022-01-11 02:00:00,0.755
2022-01-11 03:00:00,1.0975
2022-01-11 04:00:00,0.8475
2022-01-11 05:00:00,1.4
2022-01-11 06:00:00,0.7825000000000001
2022-01-11 07:00:00,1.3675
2022-01-11 08:00:00,0.8825000000000001
2022-01-11 09:00:00,1.52
2022-01-11 10:00:00,2.3525
2022-01-11 11:00:00,2.7875
2022-01-11 12:00:00,2.6875
2022-01-11 13:00:00,2.575
2022-01-11 14:00:00,2.6325000000000003
2022-01-11 15:00:00,2.594999999999999
2022-01-11 16:00:00,2.66
2022-01-11 17:00:00,3.085
2022-01-11 18:00:00,3.025
2022-01-11 19:00:00,3.1875
2022-01-11 20:00:00,3.3575
2022-01-11 21:00:00,3.125
2022-01-11 22:00:00,2.8525
2022-01-11 23:00:00,3.0
2022-01-12 00:00:00,2.36
2022-01-12 01:00:00,0.9125000000000001
2022-01-12 02:00:00,0.804999999999999
2022-01-12 03:00:00,1.547499999999999
2022-01-12 04:00:00,0.895
2022-01-12 05:00:00,1.487499999999999
2022-01-12 06:00:00,0.8175
2022-01-12 07:00:00,1.592499999999999
2022-01-12 08:00:00,0.982499999999999
2022-01-12 09:00:00,1.6125
2022-01-12 10:00:00,2.912499999999999
2022-01-12 11:00:00,3.2175000000000002
2022-01-12 12:00:00,3.179999999999999
2022-01-12 13:00:00,2.9875
2022-01-12 14:00:00,2.9725
2022-01-12 15:00:00,3.019999999999999
2022-01-12 16:00:00,3.045
2022-01-12 17:00:00,3.3525
2022-01-12 18:00:00,3.235
2022-01-12 19:00:00,3.115
2022-01-12 20:00:00,3.2025
2022-01-12 21:00:00,3.304999999999999
2022-01-12 22:00:00,2.8425000000000002
2022-01-12 23:00:00,3.335
